name,po_names,district_name,state_name,id
612906,Melanikuzhi SO,KOZHIKODE,KERALA,612906
670001,"Kannur HO, Kannur Railway Station SO, Payyambalam SO",KANNUR,KERALA,670001
670002,Civil Station Kannur SO,KANNUR,KERALA,670002
670003,"Kannur City SO, Katalayi BO",KANNUR,KERALA,670003
670004,Pallikunnu SO,KANNUR,KERALA,670004
670005,"Kakkat SO, Kottali BO",KANNUR,KERALA,670005
670006,"Attadappa BO, Chovva SO, Kappad BO",KANNUR,KERALA,670006
670007,"Kizhunna BO, Thottada SO",KANNUR,KERALA,670007
670008,Alavil SO,KANNUR,KERALA,670008
670009,"Azhikkal BO, Azhikode SO, Azhikode South BO",KANNUR,KERALA,670009
670010,Valapattanam SO,KANNUR,KERALA,670010
670011,"Chirakkal RS BO, Chirakkal SO, Kattampally BO",KANNUR,KERALA,670011
670012,"Kannookara BO, Kannur Thana SO",KANNUR,KERALA,670012
670013,Burnacherry SO,KANNUR,KERALA,670013
670014,Chalad SO,KANNUR,KERALA,670014
670017,Kannur District Hospital SO,KANNUR,KERALA,670017
670018,Thazhe Chovva SO,KANNUR,KERALA,670018
670051,Kannur NDC,KANNUR,KERALA,670051
670101,"Thalassery Bazar SO, Thalassery Courts SO, Thalassery HO",KANNUR,KERALA,670101
670102,"Kurichiyil BO, Punnol BO, Temple Gate SO",KANNUR,KERALA,670102
670103,"Moozhikkara BO, Tiruvangad SO",KANNUR,KERALA,670103
670104,Cherakkara SO,KANNUR,KERALA,670104
670105,"Nettur SO Kannur, Vadakkumbad BO",KANNUR,KERALA,670105
670106,Dharmadam SO,KANNUR,KERALA,670106
670107,"Eranholi SO, Perundattil BO",KANNUR,KERALA,670107
670141,Taliparamba HO,KANNUR,KERALA,670141
670142,"Chuzhali BO, Kanhirangad BO, Karimbam SO, Koyyam BO, Kurumathur BO, Kuttiyeri BO, Muyyam BO, Pallivayal BO, Panniyur BO",KANNUR,KERALA,670142
670143,"Aril BO, Pattuvam SO",KANNUR,KERALA,670143
670301,"Cherukunnu RS BO, Cherukunnu SO, Irinavu BO, Keezhara BO, Madakkara B.O, Thavam BO, Thekkumbad BO",KANNUR,KERALA,670301
670302,Mattul SO,KANNUR,KERALA,670302
670303,"Payangadi SO, Sreestha BO",KANNUR,KERALA,670303
